,News,Classification
2287,It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04 .,positive
2288,The Ministry of Water in Tanzania has awarded Poyry a water and sanitation engineering assignment for the rehabilitation and extension of water supply and sanitation infrastructure in Bukoba and Musoma  situated at Lake Victoria in northern Tanzania .,positive
2289,Finnish glass technology group Glaston Corporation ( OMX Helsinki : GLA1V ) reported on Thursday ( 14 August ) an operating profit of EUR6 .5 m on net sales of EUR201 .5 m for the period January-September 2008 .,neutral
2290,Comparable operating profit decreased to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005 .,negative
2291,Odell has not contacted the State of Finland in this issue .,neutral
2292,The newly-completed Allure of the Seas and its identical sister ship  Oasis of the Seas  which was completed last year are the world 's largest cruise ships .,neutral
2293,The cost of the deal could range from 70 million to 90 million euros depending on the financial results of the two companies in 2008  the statement says .,neutral
2294,Stora Enso 's business in North America has annual capacity of about 3 million tons and employs about 4350 people .,neutral
2295,Currently it operates a fleet of eight carriers  as well as nine pushers and barges .,neutral
2296,Mformation and Nokia noted they have established interoperability agreements that cover commercially proven  standards-based management of mobile devices  as well as mobile device security and mobile application management .,positive
2297,Jan. 6 -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date  gotta-have cars .,negative
2298,Nyrstar has also agreed to supply to Talvivaara up to 150000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .,positive
2299,Okmetic closed its plant in Espoo in early 2004  and all production lines from the site were moved to Okmetic 's plants in Vantaa  Finland and Texas  USA .,neutral
2300,The company pledged that the new software would render e-mails and other documents much as they appear on desktop computers .,neutral
2301,The firm 's services include copying  printing  CAD-modelling  digital printing  scanning  SokoPro project bank and courier services .,neutral
2302,FCC Chairman Kevin Martin said that fair play required extending the same deregulatory rules to the digital subscriber lines that telecom providers use for broadband networks .,neutral
2303,The new activity will incur an investment of about 5 MEUR .,neutral
2304,For 2009  Incap expects revenue of some EUR 70 million .,neutral
2305,Operating profit totaled EUR 3.8 mn  down from EUR 4.5 mn in the corresponding period in 2005 .,negative
2306,The Board established a Remuneration Committee with following members : - Sari Baldauf Chairman - Tapio Hintikka - Heikki Westerlund In addition  the Board decided to appoint a Nomination Committee at a later stage .,neutral
2307,Renesas Mobile Europe Ltd has approximately 470 employees in Oulu .,neutral
2308,Repair and maintenance business accounted for net sales of EUR 645.3 mn  up from EUR 563.6 mn .,positive
2309,- Demand for fireplace products was lower than expected  especially in Germany .,negative
2310,The company distributes Hiab 's products as well as other products .,neutral
2311,To showcase our end-to-end capabilities at the Mobile World Congress  we arranged an internal MeeGo application development competition to entice developers to create new applications .,neutral
2312,Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn .,positive
2313,The hosting mobile terminal guides information flow between itself  the participating terminals  and optionally  with network servers that may assist the hosting mobile terminal .,neutral
2314,Nevertheless  the development can not be allowed to ruin the print newspaper  which continues to be Sanoma News ' main medium .,neutral
2315,This corrensponds to 4.628 percent of Okmetic 's share capital and voting rights .,neutral
2316,The company 's board of directors will propose a dividend of EUR 0.95 per share for 2008 at the annual general meeting  scheduled to be held on March 23  2009 .,neutral
2317,The company 's profit totaled Ls 578100 in H1 2007  down 30.9 % year-on-year .,negative
2318,Operating profit fell to EUR 6.2 mn from EUR 8.5 mn in the third quarter of 2007 .,negative
2319,Motorola Inc. of the United States came second with shipments of 217.4 million units for a 21.3 percent market share  followed by South Korea 's Samsung Electronics Co. with shipments of 118.0 million units for an 11.6 percent share .,neutral
2320,The period 's sales dropped to EUR 30.6 million from EUR 38.3 million  according to the interim report  released today .,negative
2321,The Web-Marela application handles invitations to quote  quote comparisons  agreements  purchases  invoice inspections  inventory management  and deliveries .,neutral
2322,Customers wave cards in front of the reader to make payments  similar to `` touch and go '' cards used in transport systems .,neutral
2323,Operating profit was EUR 11.07 mn  up from EUR 8.65 mn .,positive
2324,The name of the newspaper publishing and printing division Sanoma will be changed to Sanoma News .,neutral
2325,According to Sweden 's Minister for Local Government and Financial Markets  Mats Odell  the decision to sell the State 's shares in telecom group TeliaSonera can only be carried out in cooperation with the State of Finland .,neutral
2326,The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier .,negative
2327,Activities range from the development of natural resources to the retailed marketing of finished products .,neutral
2328,Previously  it projected the figure to be slightly lower than in 2009 .,neutral
2329,Aldata Solution Oyj Thomas Hoyer CFO More information : Aldata Solution Oyj  Thomas Hoyer  CFO  tel. +358 45 670 0491 Aldata in brief Aldata Solution is one of the global leaders in supply chain software for retail  wholesale and logistics companies .,neutral
2330,Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit  effective 1 September .,neutral
2331,Their names have not yet been released .,neutral
2332,HUHTAMAKI OYJ STOCK EXCHANGE RELEASE  16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo  September 16  2008 starting at 13.30 pm Finnish time .,neutral
2333,Atria will also buy the shares of Kauhajoen Teurastamokiinteistot Oy (Kauhajoki slaughterhouse property)from Itikka Co-operative .,neutral
2334,The trade is in accordance with the agreement announced on 26 March 2008 .,neutral
2335,Altogether Finnair has canceled over 500 flights because of the strike .,negative
2336,The company has exported into about twenty European countries as well as to Africa .,neutral
2337,Its product portfolio comprises harvesters  forwarders  harvester heads  as well as cranes and loaders .,neutral
